Office,Order
Alternate Democratic National Committeeman,24
Alternate Democratic National Committeewoman,25
At-Large DC Democratic State Committee,26
Attorney General,12
Council At-Large,3
Council Chairman,2
Council Ward 1,4
Council Ward 2,5
Council Ward 3,6
Council Ward 4,7
Council Ward 5,8
Council Ward 6,9
Council Ward 7,10
Council Ward 8,11
Democratic Delegates,27
Democratic National Committeeman,28
Democratic National Committeewoman,29
Mayor,1
Republican National Committeeman\r\n,30
Republican National Committeewoman,31
School Board At-Large,13
School Board Ward 1,14
School Board Ward 2,15
School Board Ward 3,16
School Board Ward 4,17
School Board Ward 5,18
School Board Ward 6,19
School Board Ward 7,20
School Board Ward 8,21
US Representative,22
US Senator,23
Ward 1 DC Democratic State Committee,32
Ward 3 DC Democratic State Committee,33
Ward 6 DC Democratic State Committee,34